authors,data_collection,year,included
Adamczewski et al,rumen,1988,0
Barten et al,fecal,2001,1
Bjorkvoll et al,rumen,2009,1
Bjorkvoll et al,rumen,2009,1
Bjorkvoll et al,rumen,2009,1
Bjune,spores,2000,0
Boertje,fecal,1984,1
Boertje,fecal,1984,1
Boertje,fecal,1984,1
Boertje,fecal,1984,1
Boertje,other study,1990,0
Cooper and Wookey,plant_damage,2003,0
Cote,rumen,1998,0
den Herder et al,plant_damage,2004,0
den Herder et al,plant_damage,2008,0
Denryter et al.,visual observation,2017,0
Denryter et al.,visual observation,2017,0
Denryter et al.,visual observation,2017,0
Denryter et al.,visual observation,2017,0
Denryter et al.,visual observation,2017,0
Denryter et al.,visual observation,2017,0
Denryter et al.,visual observation,2017,0
Denryter et al.,visual observation,2017,0
Denryter et al.,visual observation,2017,0
Ferguson et al.,rumen,2001,1
Ferguson et al.,rumen,2001,1
Finstand and Kielland,fecal,2011,1
Finstand and Kielland,fecal,2011,1
Finstand and Kielland,fecal,2011,1
Finstand and Kielland,fecal,2011,1
Finstand and Kielland,fecal,2011,1
Finstand and Kielland,fecal,2011,1
Finstand and Kielland,fecal,2011,1
Finstand and Kielland,fecal,2011,1
Finstand and Kielland,fecal,2011,1
Finstand and Kielland,fecal,2011,1
Finstand and Kielland,fecal,2011,1
Finstand and Kielland,fecal,2011,1
Finstand and Kielland,fecal,2011,1
Finstand and Kielland,fecal,2011,1
Finstand and Kielland,fecal,2011,1
Finstand and Kielland,fecal,2011,1
Finstand and Kielland,fecal,2011,1
Finstand and Kielland,fecal,2011,1
Fischer and Gates,fecal,2005,1
Gustine et al.,fecal,2012,1
Gustine et al.,fecal,2012,1
Gustine et al.,fecal,2012,1
Gustine et al.,fecal,2012,1
Gustine et al.,fecal,2012,1
Gustine et al.,fecal,2012,1
Gustine et al.,fecal,2012,1
Gustine et al.,fecal,2012,1
Gustine et al.,fecal,2012,1
Gustine et al.,fecal,2012,1
Gustine et al.,fecal,2014,1
Gustine et al.,fecal,2014,1
Gustine et al.,fecal,2014,1
Gustine et al.,fecal,2014,1
Gustine et al.,fecal,2014,1
Gustine et al.,fecal,2014,1
Gustine et al.,fecal,2014,1
Gustine et al.,fecal,2014,1
Gustine et al.,fecal,2014,1
Gustine et al.,fecal,2014,1
Gustine et al.,fecal,2014,1
Gustine et al.,fecal,2014,1
Gustine et al.,fecal,2014,1
Gustine et al.,,2017,0
Hansen and Aanes,visual observation,2012,0
Herder et al,plant_damage,2004,0
Ihl,fecal,2010,1
Ihl,fecal,2010,1
Ihl and Klein,fecal,2001,1
Ihl and Klein,fecal,2001,1
Johnson et al,plant_damage,2001,0
Joly and Cameron,fecal,2018,1
Joly and Cameron,fecal,2018,1
Joly et al,fecal,2015,1
Joly et al,fecal,2015,1
Joly et al,fecal,2015,1
Joly et al,fecal,2015,1
Joly et al,fecal,2015,1
Joly et al,fecal,2015,1
Joo et al,fecal,2014,0
Jung et al,fecal,2015,1
Jung et al,fecal,2015,1
Kazmin and Abaturov,fecal,2011,0
Kazmin et al,fecal,2011,1
Kazmin et al,fecal,2011,1
Kazmin et al,fecal,2011,1
Kojola et al,fecal,1995,1
Kojola et al,fecal,1995,1
Larter and Nagy,fecal,2004,1
Larter and Nagy,fecal,2004,1
Larter and Nagy,fecal,2004,1
Larter and Nagy,fecal,2004,1
Larter and Nagy,fecal,2004,1
Larter and Nagy,fecal,2004,1
Larter and Nagy,fecal,2004,1
Larter and Nagy,fecal,2004,1
Larter and Nagy,fecal,2004,1
Larter and Nagy,fecal,2004,1
Larter and Nagy,fecal,2004,1
Larter and Nagy,fecal,2004,1
Leader-williams et al,rumen,1981,0
Manseau et al.,visual observation,1996,0
Mathiesen et al,rumen,2000,1
Mathiesen et al,rumen,2000,1
Mathiesen et al,rumen,2000,1
Mathiesen et al,rumen,2000,1
Newmaster et al.,video observation,2013,0
Ophof et al.,fecal,2013,1
Ophof et al.,fecal,2013,1
Post and Klein,visual observation,1996,0
Rominger and Oldemeyer,fecal,1990,1
Rominger and Oldemeyer,fecal,1990,1
Rominger and Oldemeyer,fecal,1990,1
Rominger and Oldemeyer,fecal,1990,1
Rominger et al.,visual observation,1996,0
Roturier and Bergsten,plant_damage,2006,0
Rozenfield et al,fecal,2012,1
Rozenfield et al,fecal,2012,1
Rozenfield et al,fecal,2012,1
Rozenfield et al,fecal,2012,1
Schaefer and Pruitt,visual observation,1991,0
