Study ID,authors,year,journal,Study_Loc,latitude,longitude,aug_daily_average,aug_daily_max,average_summer_rain,weather_station,distance,Study_Lat,Study_Long,Notes on Study_loc,caribou_herd,caribou_type,Subspecies,caribou data?,dates of sampling,data type,method,sample_size,unit,lichen,lichen_error,graminoid,graminoid_error,forbs,forbs_error,shrubs,shrubs_error,horsetail,horsetail_error,tree,tree_error,moss,moss_error,fungi,fungi_error,other,other_error,season,annual,age,sex,spatial,sympatric_ungulates,Notes
2,Barten et al,2001,Journal of Wildlife Management,"Wrangell St. Elias National Park and Pre-
serve in southcentral Alaska",61.43,-143.25,11.3,17.9,298.6,Beaver Creek YT,153.55,61°43_54_N,143°25_59_W_,direct from paper,mentasta,??,barren-ground,"analysis of epidermal fragments of plants in 20 fecal samples, each sample has 10-15 pellet groups","In 1994; 1 sample pre parturition period, 7 peak parturition period (mid-may), 4 post parturition period (June?). In 1995; 4 at high and 4 at low elevations.",fecal,fragment analysis,20,"Density values for fragments in feces were calculated from 100 microscope views for identi- fication to forage class, and from 150 micro- scope views for each composite of groups iden- tified to species",20,NA,15,NA,7,NA,38,NA,0,NA,NA,NA,20,NA,NA,NA,NA,NA,summer,,all adults,all females,High and low elevata diet data available,5,Looked at females with claves pre-parturition and post parturition Data reported here is post parturition but available for pre and peak partition. Also avaialble for high and low elevation
3a,Bjorkvoll et al,2009,"Arctic, Antarctic and Alpine Research",the Nordenskióld Land peninsula,78,15,,,,,,78°N,15°E,direct from paper,"Colesdalen, Nordenskiold Land Peninsula",reindeer,reindeer,analysis of rumen contents of 72 samples,"Between 2000-2002, 26 rumen samples in Oct (early winter)",rumen,,26,,1.3,1.3,63.7,9.9,2.6,2.3,11.5,5.8,1.3,1.5,NA,NA,10.6,4.5,NA,NA,2.3,5.4,winter,Data available in supplement for 3 years,,all females,,0,Reported here are the cumulative of plants identified. 60% of plant fragments could be ID'd
3b,Bjorkvoll et al,2009,"Arctic, Antarctic and Alpine Research",the Nordenskióld Land peninsula,78,15,,,,,,78°N,15°E,direct from paper,"Colesdalen, Nordenskiold Land Peninsula",reindeer,reindeer,analysis of rumen contents of 72 samples,22 rumen samples collected in Colesdalen and the connected Semmeldalen between 27 July and 4 1999,rumen,,22,,0.2,0.4,60.7,13.8,19.6,9.4,8.1,7.3,2.4,1.7,NA,NA,1.9,2.2,NA,NA,,,summer,,,all females,,0,Reported here are the cumulative of plants identified. 60% of plant fragments could be ID'd
3c,Bjorkvoll et al,2009,"Arctic, Antarctic and Alpine Research",the Nordenskióld Land peninsula,78,15,,,,,,78°N,15°E,direct from paper,"Colesdalen, Nordenskiold Land Peninsula",reindeer,reindeer,analysis of rumen contents of 72 samples,"Between 2000-2002, 24 rumen samples in April/May (late winter)",rumen,,24,,2.4,1.4,32.3,9.1,4,3,28.2,4.5,0.3,0.4,NA,NA,26.4,8.9,NA,NA,0.2,0.5,spring,Data available in supplement for 3 years,,all females,,4,Reported here are the cumulative of plants identified. 60% of plant fragments could be ID'd
5a,Boertje,1984,Arctic,Denali National Park,63.3,-150.3,10.2,15.8,29.4,Cantwell AK,NA,63°30'N,150°30'W,direct from paper,Denali (semi-tame),barren-ground,barren-ground,"Observation of foraging and analysis of 32 fecal samples, each sample had 25 pellets from 25 different pellet groups","190 days through the year for observation, Female fecal samples: 8 in spring 26 May-25 June,",fecal,,8,Average precentages of discerened plant fragments in fecal samples collected from adult female caribou,38,21,7,,NA,NA,52,23.7,1,1.3,NA,NA,3,2.1,0,0,,,spring,,All adults,all females,no,6,"These are the values from just adult females from only fecal analyese. The study also conducted a combined effort of fecal, field observation, and forage digestiabiliies not reported here for adult femals, and had 2 data points for calves and 3 data points for bulls"
5b,Boertje,1984,Arctic,Denali National Park,63.3,-150.3,10.2,15.8,29.4,Cantwell AK,NA,63°30'N,150°30'W,direct from paper,Denali (semi-tame),barren-ground,barren-ground,"Observation of foraging and analysis of 32 fecal samples, each sample had 25 pellets from 25 different pellet groups","190 days through the year for observation, Female fecal samples: 5 in summer (20 July- 18 Aug)",fecal,,5,Average precentages of discerened plant fragments in fecal samples collected from adult female caribou,28,17.5,5,,NA,NA,58,26.7,1,0,NA,NA,2,1.2,6,9.7,,,summer,,All adults,all females,no,6,"These are the values from just adult females from only fecal analyese. The study also conducted a combined effort of fecal, field observation, and forage digestiabiliies not reported here for adult femals, and had 2 data points for calves and 3 data points for bulls"
5c,Boertje,1984,Arctic,Denali National Park,63.3,-150.3,10.2,15.8,29.4,Cantwell AK,NA,63°30'N,150°30'W,direct from paper,Denali (semi-tame),barren-ground,barren-ground,"Observation of foraging and analysis of 32 fecal samples, each sample had 25 pellets from 25 different pellet groups","190 days through the year for observation, Female fecal samples: 4 in fall (20 Sept- 11 Oct),",fecal,,4,Average precentages of discerened plant fragments in fecal samples collected from adult female caribou,68,12,4,,NA,NA,11,8.8,2,1.3,NA,NA,13,8.2,4,1.9,,,fall,,All adults,all females,no,6,"These are the values from just adult females from only fecal analyese. The study also conducted a combined effort of fecal, field observation, and forage digestiabiliies not reported here for adult femals, and had 2 data points for calves and 3 data points for bulls"
5d,Boertje,1984,Arctic,Denali National Park,63.3,-150.3,10.2,15.8,29.4,Cantwell AK,NA,63°30'N,150°30'W,direct from paper,Denali (semi-tame),barren-ground,barren-ground,"Observation of foraging and analysis of 32 fecal samples, each sample had 25 pellets from 25 different pellet groups","190 days through the year for observation, Female fecal samples: 10 in winter (20 Nov- 9 May)",fecal,,10,Average precentages of discerened plant fragments in fecal samples collected from adult female caribou,66,12.3,4,,NA,NA,11,5.3,1,1,NA,NA,18,10.2,1,1.7,,,winter,,All adults,all females,no,6,"These are the values from just adult females from only fecal analyese. The study also conducted a combined effort of fecal, field observation, and forage digestiabiliies not reported here for adult femals, and had 2 data points for calves and 3 data points for bulls"
11a,Denryter et al.,2017,Canadian Journal of Zoology,Various food was selected from different eco regions in Northeast BC,NA,NA,NA,NA,NA,NA,NA,Captive,Captive,,tame,woodland,woodland,direct observation,"During the summers and early autumns of 2013–2015,",direct observation,direct observation,alpine sites (shrub: n = 13),Mean precentages of diet,14,4,1,4,4,1,70,7,NA,NA,NA,NA,NA,NA,10,4,1,0,summer,,All adults,all females,alpine (shrub: n = 13),2,More specific species data available in the supplement data
11b,Denryter et al.,2017,Canadian Journal of Zoology,Various food was selected from different eco regions in Northeast BC,NA,NA,NA,NA,NA,NA,NA,Captive,Captive,,tame,woodland,woodland,direct observation,"During the summers and early autumns of 2013–2015,",direct observation,direct observation,alpine sites (dry: n = 16),Mean precentages of diet,30,6,9,2,16,4,29,5,NA,NA,NA,NA,NA,NA,11,5,6,0,summer,,All adults,all females,alpine (dry: n = 16),2,More specific species data available in the supplement data
