plant_species,type_plant,study,year
Abies_asiocarpa,tree,Rominger and Oldemeyer,1990
Abies_asiocarpa,tree,Rominger et al.,1996
Abies_balsamea,tree,Christopherson et al.,2019
Acaena_sp,forb,Leader-williams et al,1981
Acer_sp,shrub,Thompson et al,2015
Acer_sp,shrub,Thompson et al,2015
Acer_sp,shrub,Thompson et al,2015
Alcemilla_glabra,forb,Skogland,1984
Alectoria_jubata,lichen,Scotter,1964
Alectoria_ochroleuca,lichen,Cote,1998
Alectoria_ochroleuca,lichen,Manseau et al.,1996
Alectoria_sarmentosa,lichen,Rominger et al.,1996
Alectoria_sp,lichen,Denryter et al.,2017
Alectoria_sp,lichen,Ferguson et al.,2001
Alectoria_sp,lichen,Ferguson et al.,2001
Alectoria_sp,lichen,Fischer and Gates,2005
Alnus_crispa,tree,Denryter et al.,2017
Alnus_rugosa,shrub,Christopherson et al.,2019
Alnus_sp,shrub,Thompson et al,2015
Alnus_sp,shrub,Thompson et al,2015
Alnus_sp,shrub,Thompson et al,2015
Alnus_sp,shrub,McNeill et al.,2020
Alopecurus_alpinus,graminoid,Kazmin et al,2011
Alopecurus_borealis,graminoid,Bjorkvoll et al,2009
Alopecurus_borealis,graminoid,Bjune,2000
Andromeda_glaucophylla,shrub,Schaefer and Pruitt,1991
Anemone_sp,forb,Thompson et al,2015
Anemone_sp,forb,Thompson et al,2015
Anemone_sp,forb,Thompson et al,2015
Aralia_nudicaulis,forb,McNeill et al.,2020
Aralia_sp,forb,Thompson et al,2015
Aralia_sp,forb,Thompson et al,2015
Aralia_sp,forb,Thompson et al,2015
Arctagrostis_arundinacea,graminoid,Kazmin et al,2011
Arctagrostis_latifolia,graminoid,Kazmin et al,2011
Arctostaphylos_alpina,shrub,Manseau et al.,1996
Arctostaphylos_sp,shrub,Shank et al,1978
Arctostaphylos_uva,shrub,Schaefer and Pruitt,1991
Arctostaphylos_uva,shrub,Scotter,1964
Artemisia_arctica,forb,Kazmin and Abaturov,2011
Artemisia_sp,forb,Kazmin and Abaturov,2011
Artemisia_sp,shrub,Shank et al,1978
Artemisia_tilesii,forb,Kazmin et al,2011
Aster_sp,forb,Denryter et al.,2017
Aster_sp,forb,McNeill et al.,2020
Aster_sp,forb,Thompson et al,2015
Aster_sp,forb,Thompson et al,2015
Aster_sp,forb,Thompson et al,2015
Asteraceae_sp,forb,Christopherson et al.,2019
Astragalus_alpinus,forb,Shank et al,1978
Astragalus_alpinus,forb,Kazmin and Abaturov,2011
Astragalus_alpinus,forb,Kazmin and Abaturov,2011
Astragalus_alpinus,forb,Kazmin et al,2011
Astragalus_sp,forb,Larter and Nagy,2004
Astragalus_tolmaczevii,forb,Kazmin and Abaturov,2011
Astragalus_umbellatus,forb,Kazmin et al,2011
Betula_glandulosa,shrub,Cote,1998
Betula_glandulosa,shrub,Manseau et al.,1996
Betula_glandulosa,shrub,Trudell and White,1981
Betula_glandulosa,shrub,Zamin et al.,2017
Betula_nana,shrub,Trudell and White,1981
Betula_nana,shrub,White and Trudell,1980
Betula_papyrifera,tree,Denryter et al.,2017
Betula_sp,shrub,Thompson and McCourt,1981
Betula_sp,shrub,Thompson et al,2015
Betula_sp,shrub,Thompson et al,2015
Betula_sp,shrub,Thompson et al,2015
Betula_sp,tree,Bjune,2000
Betula_sp,tree,Christopherson et al.,2019
Bistorta_subscaposa,forb,Joo et al,2014
Bistorta_vivipara,forb,Bjune,2000
Bistorta_vivipara,forb,Bjune,2000
Bistorta_vivipara,forb,Bjorkvoll et al,2009
Bistorta_vivipara,forb,Kazmin et al,2011
Branta_leucopsis,animal_parts,Van der Wal and Loonen,1998
Bryonia_sp,forb,Fischer and Gates,2005
Bryophyta_sp,moss,Rozenfield et al,2012
Bryoria_freemonti,lichen,Newmaster et al.,2013
Bryoria_sp,lichen,Denryter et al.,2017
Bryoria_sp,lichen,Johnson et al,2001
Bryoria_sp,lichen,Rominger et al.,1996
Bryoria_sp,lichen,Schaefer and Pruitt,1991
Bryoria_sp,lichen,Thompson et al,2015
Bryoria_sp,lichen,Thompson et al,2015
Bryoria_sp,lichen,Thompson et al,2015
Calamagrostis_canadensis,graminoid,Manseau et al.,1996
Calamagrostis_sp,graminoid,Thompson and McCourt,1981
Caltha_arctica,forb,Kazmin and Abaturov,2011
Carex_aquatilis,graminoid,Trudell and White,1981
Carex_aquatilis,sedge,Gustine et al.,2017
Carex_aquatilis,sedge,White and Trudell,1980
Carex_bigelowii,graminoid,Trudell and White,1981
Carex_bigelowii,graminoid,Skogland,1984
Carex_bigelowii,sedge,White and Trudell,1980
Carex_bigelowii,shrub,Manseau et al.,1996
Carex_lugens,sedge,Kazmin and Abaturov,2011
Carex_lugens,sedge,Kazmin et al,2011
Carex_podocarpa,sedge,Kazmin et al,2011
Carex_rariflora,graminoid,Manseau et al.,1996
Carex_rariflora,sedge,Cote,1998
Carex_scirpoidea,graminoid,Trudell and White,1981
Carex_sp,graminoid,Thompson and McCourt,1981
Carex_sp,graminoid,Thompson et al,2015
Carex_sp,graminoid,Thompson et al,2015
Carex_sp,graminoid,Thompson et al,2015
Carex_sp,sedge,Boertje,1984
Carex_sp,sedge,Kazmin and Abaturov,2011
Carex_stans,sedge,Kazmin et al,2011
Carix_nesophilla,sedge,Kazmin and Abaturov,2011
Cassiope_tetragona,forb,Shank et al,1978
Cassiope_tetragona,shrub,Adamczewski et al,1988
Cassiope_tetragona,shrub,Bjune,2000
Cassiope_tetragona,shrub,Ferguson et al.,2001
Cassiope_tetragona,shrub,Ferguson et al.,2001
Cerastium_sp,forb,Bjune,2000
Cerastium_sp,forb,Shank et al,1978
Cetraria_cuculata,lichen,Manseau et al.,1996
Cetraria_cuculata,lichen,White and Trudell,1980
Cetraria_cuculata,lichen,Zamin et al.,2017
Cetraria_ericetorum,lichen,Johnson et al,2001
Cetraria_islandica,lichen,Manseau et al.,1996
Cetraria_nivalis,lichen,Ferguson et al.,2001
Cetraria_nivalis,lichen,Manseau et al.,1996
Cetraria_nivalis,lichen,Scotter,1964
Cetraria_sp,lichen,Ferguson et al.,2001
Cetraria_sp,lichen,Cote,1998
Cetraria_sp,lichen,Denryter et al.,2017
Cetraria_sp,lichen,Ferguson et al.,2001
Cetraria_sp,lichen,Fischer and Gates,2005
Cetraria_sp,lichen,Kojola et al,1995
Cetraria_sp,lichen,Larter and Nagy,2004
Cetraria_sp,lichen,Manseau et al.,1996
Cetraria_sp,lichen,Skogland,1984
Cetrariella_delisi,lichen,Joo et al,2014
Cetrariella_fastigiata,lichen,Joo et al,2014
Chamaedaphne_calyculata,shrub,Schaefer and Pruitt,1991
Chamaedaphne_calyculata,shrub,McNeill et al.,2020
Chamaedaphne_sp,shrub,Thompson et al,2015
Chamaedaphne_sp,shrub,Thompson et al,2015
Chamaedaphne_sp,shrub,Thompson et al,2015
Citraria_nivalis,lichen,Shank et al,1978
Cladina_mitis,lichen,Johnson et al,2001
Cladina_rangiferina,lichen,Cote,1998
Cladina_rangiferina,lichen,Johnson et al,2001
Cladina_rangiferina,lichen,Thompson et al,2015
Cladina_rangiferina,lichen,Thompson et al,2015
Cladina_rangiferina,lichen,Thompson et al,2015
Cladina_sp,lichen,Denryter et al.,2017
Cladina_sp,lichen,Ferguson et al.,2001
Cladina_sp,lichen,Ferguson et al.,2001
Cladina_sp,lichen,Fischer and Gates,2005
Cladina_sp,lichen,Larter and Nagy,2004
Cladina_sp,lichen,Manseau et al.,1996
Cladina_sp,lichen,Schaefer and Pruitt,1991
Cladina_sp,lichen,Skogland,1984
Cladina_sp,lichen,Thompson et al,2015
Cladina_sp,lichen,Thompson et al,2015
Cladina_sp,lichen,Thompson et al,2015
Cladina_sp,lichen,McNeill et al.,2020
Cladina_stellaris,lichen,Cote,1998
Cladina_stellaris,lichen,Manseau et al.,1996
Cladina_stellaris,lichen,Thompson et al,2015
Cladina_stellaris,lichen,Thompson et al,2015
Cladina_stellaris,lichen,Thompson et al,2015
Cladinia_rangiferina,lichen,Thompson et al,2012
Cladonia_alpestris,lichen,Scotter,1964
Cladonia_arbuscula,lichen,Newmaster et al.,2013
Cladonia_ecmocyna,lichen,Johnson et al,2001
Cladonia_gracilis,lichen,Manseau et al.,1996
