system:index,Npp,Npp_QC,Sbsp,ag__,ath_,athr,dtty,frbs,fung,grmn,hrst,lchn,moss,sesn,shrb,sym_,tree,vscl,year,.geo
2000_02_18_00000000000000000001,,,5-Reindeer,,Bjorkvoll et al 2009,Bjorkvoll et al,rumen,2.6,,63.7,1.3,1.3,10.6,4-Winter,11.5,0,0.0,14.1,2000.0,"{""type"":""Point"",""coordinates"":[-15.00000124739397,78.00000024370713]}"
2000_02_18_00000000000000000002,,,5-Reindeer,,Bjorkvoll et al 2009,Bjorkvoll et al,rumen,19.6,,60.7,2.4,0.2,1.9,2-Summer,8.1,0,0.0,27.7,2000.0,"{""type"":""Point"",""coordinates"":[-15.00000124739397,78.00000024370713]}"
2000_02_18_00000000000000000003,,,5-Reindeer,,Bjorkvoll et al 2009,Bjorkvoll et al,rumen,4.0,,32.3,0.3,2.4,26.4,5-Spring,28.2,4,0.0,32.2,2000.0,"{""type"":""Point"",""coordinates"":[-15.00000124739397,78.00000024370713]}"
2000_02_18_00000000000000000031,1366.0,71.0,2-Barren Ground,,Gustine et al. 2014,Gustine et al.,fecal,1.0,,5.0,,75.0,13.0,4-Winter,6.0,1,0.0,7.0,2000.0,"{""type"":""Point"",""coordinates"":[51.999998676104404,66.99999992349836]}"
2000_02_18_00000000000000000041,,,5-Reindeer,,Kojola et al 1995,Kojola et al,fecal,0.0,,10.1,,53.9,7.8,3-Autumn,16.5,2,0.0,16.5,2000.0,"{""type"":""Point"",""coordinates"":[-26.000001567602734,69.00000038709096]}"
2000_02_18_00000000000000000042,,,5-Reindeer,,Kojola et al 1995,Kojola et al,fecal,0.0,,6.3,,53.2,10.7,4-Winter,22.9,2,0.0,22.9,2000.0,"{""type"":""Point"",""coordinates"":[-26.000001567602734,69.00000038709096]}"
2000_02_18_0000000000000000004f,,,5-Reindeer,,Mathiesen et al 2000,Mathiesen et al,rumen,0.0,,60.9,,14.8,6.1,3-Autumn,25.1,1,0.0,25.1,2000.0,"{""type"":""Point"",""coordinates"":[-22.999998642663307,69.00000038709096]}"
2000_02_18_00000000000000000050,,,5-Reindeer,,Mathiesen et al 2000,Mathiesen et al,rumen,0.0,,53.4,,14.4,9.6,4-Winter,27.1,1,0.0,27.1,2000.0,"{""type"":""Point"",""coordinates"":[-22.999998642663307,69.00000038709096]}"
2000_02_18_00000000000000000051,,,5-Reindeer,,Mathiesen et al 2000,Mathiesen et al,rumen,0.0,,62.3,,13.3,9.9,4-Winter,16.2,1,0.0,16.2,2000.0,"{""type"":""Point"",""coordinates"":[-22.999998642663307,69.00000038709096]}"
2000_02_18_00000000000000000052,,,5-Reindeer,,Mathiesen et al 2000,Mathiesen et al,rumen,0.0,,51.3,,25.8,7.4,4-Winter,17.2,1,0.0,17.2,2000.0,"{""type"":""Point"",""coordinates"":[-22.999998642663307,69.00000038709096]}"
2000_02_18_00000000000000000053,,,5-Reindeer,,Ophof et al. 2013,Ophof et al.,fecal,0.0,,10.0,,41.7,15.6,4-Winter,33.7,1,0.0,33.7,2000.0,"{""type"":""Point"",""coordinates"":[-26.999999569848498,69.2999997877647]}"
2000_02_18_00000000000000000054,,,5-Reindeer,,Ophof et al. 2013,Ophof et al.,fecal,0.0,,18.3,,45.1,15.3,5-Spring,22.2,1,0.0,22.2,2000.0,"{""type"":""Point"",""coordinates"":[-26.999999569848498,69.2999997877647]}"
2000_02_18_0000000000000000006d,,,5-Reindeer,,Sormo et al 1999,Sormo et al,rumen,30.2,,68.2,5.7,0.0,26.9,3-Autumn,9.1,0,0.0,39.3,2000.0,"{""type"":""Point"",""coordinates"":[-20.000000176824933,79.45000180606456]}"
