lichen,graminoid,shrubs,forbs,horsetail,tree,moss,fungi,vascular,data type,latitude,longitude,sympatric_ungulates,aug_daily_average,Subspecies,season,authors,author_yr
20,15,38,7,0,0,20,,45,fecal,61.43,-143.25,5,11.3,2-Barren Ground,2-Summer,Barten et al,Barten et al 2001
1.3,63.7,11.5,2.6,1.3,0,10.6,,14.1,rumen,78,15,0,,5-Reindeer,4-Winter,Bjorkvoll et al,Bjorkvoll et al 2009
0.2,60.7,8.1,19.6,2.4,0,1.9,,27.7,rumen,78,15,0,,5-Reindeer,2-Summer,Bjorkvoll et al,Bjorkvoll et al 2009
2.4,32.3,28.2,4,0.3,0,26.4,,32.2,rumen,78,15,4,,5-Reindeer,5-Spring,Bjorkvoll et al,Bjorkvoll et al 2009
38,7,52,0,1,0,3,0,52,fecal,63.3,-150.3,6,10.2,2-Barren Ground,5-Spring,Boertje,Boertje 1984
28,5,58,0,1,0,2,6,58,fecal,63.3,-150.3,6,10.2,2-Barren Ground,2-Summer,Boertje,Boertje 1984
68,4,11,0,2,0,13,4,11,fecal,63.3,-150.3,6,10.2,2-Barren Ground,3-Autumn,Boertje,Boertje 1984
66,4,11,0,1,0,18,1,11,fecal,63.3,-150.3,6,10.2,2-Barren Ground,4-Winter,Boertje,Boertje 1984
56.2,13.9,14.3,1.6,3.5,0,10.4,,15.9,fecal,65.285,-164.675,0,10.1,6-Introduced-Reindeer,5-Spring,Finstand and Kielland,Finstand and Kielland 2011
49,13.8,23.3,2.7,6.7,0,4.4,,26,fecal,65.285,-164.675,2,10.1,6-Introduced-Reindeer,1-Calving,Finstand and Kielland,Finstand and Kielland 2011
62.3,14.1,14.9,3.4,3.2,0,2.1,,18.3,fecal,65.285,-164.675,2,10.1,6-Introduced-Reindeer,2-Summer,Finstand and Kielland,Finstand and Kielland 2011
81.3,7.9,7.5,1.7,0,0,2.7,,9.2,fecal,65.285,-164.675,2,10.1,6-Introduced-Reindeer,3-Autumn,Finstand and Kielland,Finstand and Kielland 2011
71.8,15.3,6.3,0.9,1.2,0,5.4,,7.2,fecal,65.285,-164.675,2,10.1,6-Introduced-Reindeer,4-Winter,Finstand and Kielland,Finstand and Kielland 2011
65.1,11.1,5,2.4,4.3,0,8.6,,7.4,fecal,65.285,-164.675,2,10.1,6-Introduced-Reindeer,5-Spring,Finstand and Kielland,Finstand and Kielland 2011
36.8,32.4,28.3,0.8,0.9,0,0.6,,29.1,fecal,65.285,-164.675,2,10.1,6-Introduced-Reindeer,1-Calving,Finstand and Kielland,Finstand and Kielland 2011
24.1,40.3,31.7,1.8,1.2,0,0.6,,33.5,fecal,65.285,-164.675,2,10.1,6-Introduced-Reindeer,2-Summer,Finstand and Kielland,Finstand and Kielland 2011
68.7,12.4,5.3,2.3,5.7,0,3.6,,7.6,fecal,65.285,-164.675,2,10.1,6-Introduced-Reindeer,3-Autumn,Finstand and Kielland,Finstand and Kielland 2011
71.9,12.5,4.6,0.16,0.2,0,9.4,,4.76,fecal,65.285,-164.675,2,10.1,6-Introduced-Reindeer,4-Winter,Finstand and Kielland,Finstand and Kielland 2011
68.8,10.3,7.9,1.3,4.4,0,7.3,,9.2,fecal,65.285,-164.675,2,10.1,6-Introduced-Reindeer,5-Spring,Finstand and Kielland,Finstand and Kielland 2011
38.9,10.4,46.1,1.2,0,0,3.4,,47.3,fecal,65.285,-164.675,2,10.1,6-Introduced-Reindeer,1-Calving,Finstand and Kielland,Finstand and Kielland 2011
76.6,4.8,12.7,2.8,0,0,3.1,,15.5,fecal,65.285,-164.675,2,10.1,6-Introduced-Reindeer,4-Winter,Finstand and Kielland,Finstand and Kielland 2011
56,12.1,6.1,1,14.2,0,8.2,,7.1,fecal,65.285,-164.675,2,10.1,6-Introduced-Reindeer,5-Spring,Finstand and Kielland,Finstand and Kielland 2011
49.4,17.9,15.5,0.6,8.5,0,4.8,,16.1,fecal,65.285,-164.675,2,10.1,6-Introduced-Reindeer,1-Calving,Finstand and Kielland,Finstand and Kielland 2011
48.8,5.3,20.9,3,7.2,0,5.9,,23.9,fecal,65.285,-164.675,2,10.1,6-Introduced-Reindeer,2-Summer,Finstand and Kielland,Finstand and Kielland 2011
76,3.1,7.7,0,0,0,13.3,,7.7,fecal,65.285,-164.675,2,10.1,6-Introduced-Reindeer,4-Winter,Finstand and Kielland,Finstand and Kielland 2011
31.4,16.7,42.8,2.3,4.4,0,1.8,,45.1,fecal,65.285,-164.675,2,10.1,6-Introduced-Reindeer,1-Calving,Finstand and Kielland,Finstand and Kielland 2011
65.3,7.4,6.4,4.1,,0.1,2.7,,10.6,fecal,62,-137,2,12.8,4-Woodland,4-Winter,Fischer and Gates,Fischer and Gates 2005
76,6,7,1,,0,9,,8,fecal,69,-150,3,7.3,2-Barren Ground,4-Winter,Gustine et al.,Gustine et al. 2012
61,9,7,0,,0,24,,7,fecal,69,-150,3,7.3,2-Barren Ground,4-Winter,Gustine et al.,Gustine et al. 2012
47,7,10,13,,0,23,,23,fecal,69,-150,3,7.3,2-Barren Ground,4-Winter,Gustine et al.,Gustine et al. 2012
68,5,15,0,,0,11,,15,fecal,66,-160,2,13.3,2-Barren Ground,4-Winter,Gustine et al.,Gustine et al. 2012
77,6,7,4,,0,6,,11,fecal,66,-160,1,13.3,2-Barren Ground,4-Winter,Gustine et al.,Gustine et al. 2012
