system:index,Npp,Npp_QC,author_yr,max_year,min_year,year,.geo
2000_02_18_00000000000000000075,,,Staaland and White 1991,,,2000.0,"{""type"":""Point"",""coordinates"":[-15.000001247393966,77.90000044348255]}"
2000_02_18_00000000000000000076,,,Staaland and White 1991,,,2000.0,"{""type"":""Point"",""coordinates"":[-15.000001247393966,77.90000044348255]}"
2000_02_18_00000000000000000089,1514.0,21.0,Bergerud 1972,,1959,2000.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2000_02_18_0000000000000000008a,1514.0,21.0,Bergerud 1972,,1959,2000.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2000_02_18_0000000000000000008b,1514.0,21.0,Bergerud 1972,,1959,2000.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2000_02_18_0000000000000000008c,1514.0,21.0,Bergerud 1972,,1959,2000.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2000_02_18_00000000000000000082,,,Gaare and Skogland 1975,,1970,2000.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2000_02_18_00000000000000000083,,,Gaare and Skogland 1975,,1970,2000.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2000_02_18_00000000000000000084,,,Gaare and Skogland 1975,,1970,2000.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2000_02_18_00000000000000000085,,,Gaare and Skogland 1975,,1970,2000.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2000_02_18_00000000000000000086,,,Gaare and Skogland 1975,,1970,2000.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2000_02_18_00000000000000000087,,,Gaare and Skogland 1975,,1970,2000.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2000_02_18_00000000000000000088,,,Gaare and Skogland 1975,,1970,2000.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2000_02_18_0000000000000000007d,960.0,61.0,Thomas and Edmonds 1983,1977,1974,2000.0,"{""type"":""Point"",""coordinates"":[93.5192994815833,73.24670108005807]}"
2000_02_18_0000000000000000007e,1292.0,45.0,Thomas and Edmonds 1983,1977,1974,2000.0,"{""type"":""Point"",""coordinates"":[99.4691984129246,72.67660055127395]}"
2000_02_18_0000000000000000007f,863.0,68.0,Thomas and Edmonds 1983,1977,1974,2000.0,"{""type"":""Point"",""coordinates"":[127.99999845621896,70.34000038556096]}"
