latitude,longitude,author_yr,min_year_of_data_collection,max_year_data_collection
61.43,143.25,Barten et al 2001,1992,1993
78,-15,Bjorkvoll et al 2009,1999,2002
78,-15,Bjorkvoll et al 2009,1999,2002
78,-15,Bjorkvoll et al 2009,1999,2002
63.3,150.3,Boertje 1984,1978,1980
63.3,150.3,Boertje 1984,1978,1980
63.3,150.3,Boertje 1984,1978,1980
63.3,150.3,Boertje 1984,1978,1980
65.285,164.675,Finstand and Kielland 2011,1996,1997
65.285,164.675,Finstand and Kielland 2011,1996,1997
65.285,164.675,Finstand and Kielland 2011,1996,1997
65.285,164.675,Finstand and Kielland 2011,1996,1997
65.285,164.675,Finstand and Kielland 2011,1996,1997
65.285,164.675,Finstand and Kielland 2011,1996,1997
65.285,164.675,Finstand and Kielland 2011,1996,1997
65.285,164.675,Finstand and Kielland 2011,1996,1997
65.285,164.675,Finstand and Kielland 2011,1996,1997
65.285,164.675,Finstand and Kielland 2011,1996,1997
65.285,164.675,Finstand and Kielland 2011,1996,1997
65.285,164.675,Finstand and Kielland 2011,1996,1997
65.285,164.675,Finstand and Kielland 2011,1996,1997
65.285,164.675,Finstand and Kielland 2011,1996,1997
65.285,164.675,Finstand and Kielland 2011,1996,1997
65.285,164.675,Finstand and Kielland 2011,1996,1997
65.285,164.675,Finstand and Kielland 2011,1996,1997
65.285,164.675,Finstand and Kielland 2011,1996,1997
62,137,Fischer and Gates 2005,1999,2000
69,150,Gustine et al. 2012,2006,2008
69,150,Gustine et al. 2012,2006,2008
69,150,Gustine et al. 2012,2006,2008
66,160,Gustine et al. 2012,2006,2008
66,160,Gustine et al. 2012,2006,2008
66,160,Gustine et al. 2012,2006,2008
62,138,Gustine et al. 2012,2006,2008
62,138,Gustine et al. 2012,2006,2008
63,150,Gustine et al. 2012,2007,2008
63,150,Gustine et al. 2012,2007,2008
69,150,Gustine et al. 2014,2006,2009
69,150,Gustine et al. 2014,2006,2009
69,150,Gustine et al. 2014,2006,2009
62,138,Gustine et al. 2014,2006,2009
62,138,Gustine et al. 2014,2006,2009
63,150,Gustine et al. 2014,2006,2009
63,150,Gustine et al. 2014,2006,2009
66,160,Gustine et al. 2014,2006,2009
66,160,Gustine et al. 2014,2006,2009
66,160,Gustine et al. 2014,2006,2009
69,117,Gustine et al. 2014,2006,2009
66,115,Gustine et al. 2014,2006,2009
67,52,Gustine et al. 2014,2006,2009
67,163,Ihl 2010,1996,1997
65.285,164.675,Ihl 2010,1996,1997
65.285,164.675,Ihl and Klein 2001,1996,1997
65.285,164.675,Ihl and Klein 2001,1996,1997
67.1,156,Joly and Cameron 2018,2011,2013
67.1,156,Joly and Cameron 2018,2011,2013
67.1,156,Joly et al 2015,2012,2013
67.1,156,Joly et al 2015,2012,2013
67.1,156,Joly et al 2015,2012,2013
67.1,152,Joly et al 2015,2012,2013
67.1,152,Joly et al 2015,2012,2013
67.1,152,Joly et al 2015,2012,2013
67.8,163.5,Jung et al 2015,2009,2010
67.8,163.5,Jung et al 2015,2009,2010
71.11,179.38,Kazmin et al 2011,2004,2007
71.11,179.38,Kazmin et al 2011,2004,2007
71.11,179.38,Kazmin et al 2011,2004,2007
69,-26,Kojola et al 1995,1988,1992
69,-26,Kojola et al 1995,1988,1992
72.5,122,Larter and Nagy 2004,1993,1998
72.5,122,Larter and Nagy 2004,1993,1998
72.5,122,Larter and Nagy 2004,1993,1998
72.5,122,Larter and Nagy 2004,1993,1998
72.5,122,Larter and Nagy 2004,1993,1998
72.5,122,Larter and Nagy 2004,1993,1998
72.5,122,Larter and Nagy 2004,1993,1998
72.5,122,Larter and Nagy 2004,1993,1998
72.5,122,Larter and Nagy 2004,1993,1998
72.5,122,Larter and Nagy 2004,1993,1998
72.5,122,Larter and Nagy 2004,1993,1998
72.5,122,Larter and Nagy 2004,1993,1998
69,-23,Mathiesen et al 2000,1995,1996
69,-23,Mathiesen et al 2000,1995,1996
69,-23,Mathiesen et al 2000,1995,1996
69,-23,Mathiesen et al 2000,1995,1996
69.3,-27,Ophof et al. 2013,2011,NA
69.3,-27,Ophof et al. 2013,2011,NA
51.39,117.52,Rominger and Oldemeyer 1990,1983,1986
51.39,117.52,Rominger and Oldemeyer 1990,1983,1986
51.39,117.52,Rominger and Oldemeyer 1990,1983,1986
51.39,117.52,Rominger and Oldemeyer 1990,1983,1986
71.11,179.38,Rozenfield et al 2012,2004,2009
71.11,179.38,Rozenfield et al 2012,2004,2009
71.11,179.38,Rozenfield et al 2012,2004,2009
71.11,179.38,Rozenfield et al 2012,2004,2009
48,55,Schaefer et al. 2016,1990,1999
48,55,Schaefer et al. 2016,2000,2009
48,55,Schaefer et al. 2016,1980,1989
48,55,Schaefer et al. 2016,1990,1999
48,55,Schaefer et al. 2016,2000,2009
48,55,Schaefer et al. 2016,2000,2009
