latitude,longitude,season,ecotype,meanDiet,plant
61.43,143.25,2-Summer,2-Barren Ground,20,lichen
78,-15,4-Winter,5-Reindeer,1.3,lichen
78,-15,2-Summer,5-Reindeer,0.2,lichen
78,-15,5-Spring,5-Reindeer,2.4,lichen
63.3,150.3,5-Spring,2-Barren Ground,38,lichen
63.3,150.3,2-Summer,2-Barren Ground,28,lichen
63.3,150.3,3-Autumn,2-Barren Ground,68,lichen
63.3,150.3,4-Winter,2-Barren Ground,66,lichen
65.285,164.675,5-Spring,6-Introduced-Reindeer,61.525,lichen
65.285,164.675,1-Calving,6-Introduced-Reindeer,41.1,lichen
65.285,164.675,2-Summer,6-Introduced-Reindeer,45.0666666666667,lichen
65.285,164.675,3-Autumn,6-Introduced-Reindeer,75,lichen
65.285,164.675,4-Winter,6-Introduced-Reindeer,67.5666666666667,lichen
62,137,4-Winter,4-Woodland,65.3,lichen
69,150,4-Winter,2-Barren Ground,61.3333333333333,lichen
66,160,4-Winter,2-Barren Ground,68.3333333333333,lichen
62,138,4-Winter,4-Woodland,70,lichen
63,150,4-Winter,2-Barren Ground,65.5,lichen
69,117,4-Winter,2-Barren Ground,90,lichen
66,115,4-Winter,2-Barren Ground,53,lichen
67,52,4-Winter,2-Barren Ground,75,lichen
67,163,4-Winter,2-Barren Ground,,lichen
65.285,164.675,4-Winter,2-Barren Ground,,lichen
67.1,156,3-Autumn,2-Barren Ground,65.9,lichen
67.1,156,4-Winter,2-Barren Ground,71.125,lichen
67.1,152,4-Winter,3-Mountain,90.2666666666667,lichen
67.8,163.5,2-Summer,4-Woodland,30.5,lichen
67.8,163.5,4-Winter,4-Woodland,55.5,lichen
71.11,179.38,2-Summer,5-Reindeer,0.005,lichen
71.11,179.38,3-Autumn,5-Reindeer,0.01,lichen
71.11,179.38,4-Winter,5-Reindeer,9.65,lichen
69,-26,3-Autumn,5-Reindeer,53.9,lichen
69,-26,4-Winter,5-Reindeer,53.2,lichen
72.5,122,4-Winter,1-Peary,2.725,lichen
72.5,122,5-Spring,1-Peary,0,lichen
72.5,122,1-Calving,1-Peary,0,lichen
72.5,122,2-Summer,1-Peary,0,lichen
72.5,122,3-Autumn,1-Peary,0,lichen
69,-23,3-Autumn,5-Reindeer,14.8,lichen
69,-23,4-Winter,5-Reindeer,22.425,lichen
69.3,-27,4-Winter,5-Reindeer,41.7,lichen
69.3,-27,5-Spring,5-Reindeer,45.1,lichen
51.39,117.52,4-Winter,4-Woodland,45.4,lichen
71.11,179.38,5-Spring,5-Reindeer,0,lichen
48,55,5-Spring,4-Woodland,43.25,lichen
48,55,2-Summer,4-Woodland,29.8,lichen
48,55,3-Autumn,4-Woodland,57.6666666666667,lichen
48,55,4-Winter,4-Woodland,51.075,lichen
79.45,-20,3-Autumn,5-Reindeer,0.3,lichen
